Date,Close,High,Low,Open,Volume
2021-08-05,23167.81640625,23341.788266443757,22876.850207478008,23152.017630131206,1182
2021-08-06,23196.42578125,23360.766418663232,23108.465975282972,23204.205636409803,926
2021-08-09,23075.73046875,23330.260345790244,22919.78681221382,23152.018638516147,991
2021-08-10,22699.130859375,23246.90458085131,22487.821982292902,23246.90458085131,12585
2021-08-11,22480.798828125,22772.52485474718,22298.050073487644,22744.011074957394,1898
2021-08-12,23338.798828125,23689.21104666286,22492.42179670417,22592.194078621127,11674
2021-08-13,22844.77734375,23389.23001953271,22772.475475407104,23389.23001953271,2093
2021-08-16,22622.796875,23151.450844987576,22582.707824345438,22844.59132684625,1389
2021-08-17,22564.015625,22867.363266963515,22483.077701688817,22867.363266963515,4460
2021-08-18,22276.2265625,22616.24773586205,22241.118994121905,22608.37336624431,15171
2021-08-20,21671.474609375,22573.16866216502,21538.966893938985,22241.16642156795,7309
2021-08-23,21633.759765625,22082.18744466657,21578.772607391813,22013.063855473767,3628
2021-08-24,22006.990234375,22040.437310820158,21587.12267899958,21776.18168557258,26375
2021-08-25,21625.787109375,22193.627549910256,21518.614884692215,22107.187396427995,4147
2021-08-26,21660.513671875,21918.50720744299,21595.89714464946,21650.97880989733,1862
2021-08-27,21485.212890625,21638.68988254583,21420.596363899444,21543.804570693694,2514
2021-08-30,21803.79296875,21882.879515121786,21461.162436755752,21527.72486173608,21577
2021-08-31,23143.904296875,23567.90082552157,21918.5085913977,21918.5085913977,16209
2021-09-01,23778.357421875,24009.783104694176,22928.18489334963,23143.90631328445,7005
2021-09-02,23287.75390625,24070.509667244467,23152.01970517049,23778.357375810872,4121
